Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"The Real Estate Business","Finance","State","A mortgage clause that allows the lender to demand immediate payment of the entire loan balance if the borrower defaults on covenants like monthly payments. matches which of the following terms?","Acceleration Clause","Agency","Ad Valorem","Adverse Possession","A","Acceleration Clause is defined as: A mortgage clause that allows the lender to demand immediate payment of the entire loan balance if the borrower defaults on covenants like monthly payments. Example: A homeowner misses three consecutive mortgage payments. The lender invokes the acceleration clause, demanding the entire remaining balance of $210,000 within 30 days. Because the homeowner cannot pay this full sum, the lender initiates a foreclosure sale."
"The Real Estate Business","State Rules","State","Select the correct term for this definition: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property.","Alienation Clause","Adverse Possession","Agency","Ad Valorem","D","Ad Valorem is defined as: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property. Example: A property has a market value of $300,000, but the local county assesses property taxes at 60% of market value, resulting in an assessed value of $180,000. If the tax rate is 20 mills ($0.020 per dollar), the annual ad valorem property tax is $3,600."
"The Real Estate Business","Property Law","State","A method of acquiring title to real property by possessing it in an open, notorious, hostile, and continuous manner for a statutorily defined period. is the legal definition of:","Amortization","Agency","Adverse Possession","Alienation Clause","C","Adverse Possession is defined as: A method of acquiring title to real property by possessing it in an open, notorious, hostile, and continuous manner for a statutorily defined period. Example: A neighbor builds a fence that encroaches 5 feet onto a homeowner's land. The homeowner does not object, and the neighbor continues to use that strip of land, mowing it and planting gardens on it, for 15 continuous years (the state's statutory limit). The neighbor can file a lawsuit to claim legal ownership of that 5-foot strip via adverse possession."
"The Real Estate Business","Agency & Ethics","State","What real estate term matches the following description: A legal relationship where one party (the agent) acts on behalf of and under the control of another party (the principal) in dealings with third parties.","Appraisal","Alienation Clause","Amortization","Agency","D","Agency is defined as: A legal relationship where one party (the agent) acts on behalf of and under the control of another party (the principal) in dealings with third parties. Example: A home seller hires a real estate broker to market their home. The seller signs a listing agreement, creating an agency relationship. The broker now has the legal authority and duty to represent the seller's interests in negotiations with prospective buyers."
"The Real Estate Business","Finance","State","Define: Also known as a 'due-on-sale' clause, this mortgage provision allows the lender to demand immediate repayment of the full loan balance if the property is sold or transferred.","Appurtenance","Appraisal","Alienation Clause","Amortization","C","Alienation Clause is defined as: Also known as a 'due-on-sale' clause, this mortgage provision allows the lender to demand immediate repayment of the full loan balance if the property is sold or transferred. Example: A seller attempts to sell their house to a buyer by letting the buyer take over their 3% interest rate mortgage. The lender invokes the alienation clause, requiring the seller to pay off the remaining $150,000 balance immediately upon sale, forcing the buyer to obtain their own financing."
"The Real Estate Business","Finance","State","The gradual liquidation or repayment of a financial debt through regular, periodic payments of both principal and interest over a specified term. matches which of the following terms?","Asbestos","Appurtenance","Amortization","Appraisal","C","Amortization is defined as: The gradual liquidation or repayment of a financial debt through regular, periodic payments of both principal and interest over a specified term. Example: An agent helps a buyer secure a 30-year fixed-rate mortgage of $300,000. With a fully amortized loan schedule, the buyer makes equal monthly payments of $1,800. In month 1, $1,500 goes to interest and $300 to principal. By year 25, $300 goes to interest and $1,500 goes directly to reducing the principal balance."
"The Real Estate Business","Valuation","State","Select the correct term for this definition: An unbiased, defensible estimate of the fair market value of a property, conducted by a licensed professional appraiser using standardized valuation methods.","Appurtenance","Assessed Value","Asbestos","Appraisal","D","Appraisal is defined as: An unbiased, defensible estimate of the fair market value of a property, conducted by a licensed professional appraiser using standardized valuation methods. Example: A buyer agrees to purchase a home for $350,000 and applies for a mortgage. The lender hires an independent appraiser, who inspects the home, compares it to three similar nearby homes that sold recently, and determines its appraised market value is $348,000, preventing the lender from lending on the higher agreed-upon purchase price."
"The Real Estate Business","Property Law","State","A right, privilege, or improvement that is associated with a property and transfers automatically with the title (e.g., easements, outbuildings, or water rights). is the legal definition of:","Appurtenance","Asbestos","Bilateral Contract","Assessed Value","A","Appurtenance is defined as: A right, privilege, or improvement that is associated with a property and transfers automatically with the title (e.g., easements, outbuildings, or water rights). Example: A buyer purchases a home that has an easement appurtenant allowing them to cross the neighbor's property to access a public lake. When the buyer takes title, this easement right transfers to them automatically as an appurtenance, without needing a separate deed or contract."
"License Law and Qualifications for Licensure","State Rules","State","Select the correct term for this definition: A person given authority by a proper court to manage and distribute the estate of a deceased person when there is no will. See also: Administrator C.T.A..","Licensing Acts","Administrator","Life In Being","Limited Access Highway","B","Administrator is defined as: A person given authority by a proper court to manage and distribute the estate of a deceased person when there is no will. See also: Administrator C.T.A.. Example: An example applying the concept of Administrator in U.S. real estate transactions."
"License Law and Qualifications for Licensure","State Rules","State","A written statement or declaration, sworn to before an officer who has authority to administer an oath. is the legal definition of:","Limited Partnership","Limited Access Highway","Affidavit","Life In Being","C","Affidavit is defined as: A written statement or declaration, sworn to before an officer who has authority to administer an oath. Example: An example applying the concept of Affidavit in U.S. real estate transactions."
