Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"State Laws and Rules","State Rules","State","Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property. matches which of the following terms?","Assessed Value","Asbestos","Ad Valorem","Lis Pendens","C","Ad Valorem is defined as: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property. Example: A property has a market value of $300,000, but the local county assesses property taxes at 60% of market value, resulting in an assessed value of $180,000. If the tax rate is 20 mills ($0.020 per dollar), the annual ad valorem property tax is $3,600."
"State Laws and Rules","State Rules","State","Select the correct term for this definition: A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled.","A.I.R. (american Industrial Real Estate Association)","Lis Pendens","Assessed Value","Asbestos","D","Asbestos is defined as: A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled. Example: During an inspection of a home built in 1965, the inspector notes damaged pipe insulation that contains asbestos. The buyer requests that the seller hire an abatement team to safely encapsulate the asbestos fibers before closing the transaction."
"State Laws and Rules","State Rules","State","The valuation placed on a property by a public tax assessor for the purpose of calculating local annual property taxes. is the legal definition of:","Assessed Value","Abandonment Of Homestead","A.I.R. (american Industrial Real Estate Association)","Lis Pendens","A","Assessed Value is defined as: The valuation placed on a property by a public tax assessor for the purpose of calculating local annual property taxes. Example: A county has an assessment ratio of 80%. A home with a fair market value of $250,000 has an assessed value of $200,000. The millage rate of 30 mills is then applied to the $200,000 assessed value, resulting in an annual property tax bill of $6,000."
"State Laws and Rules","State Rules","State","What real estate term matches the following description: Latin for 'suit pending,' a recorded legal notice warning the public that a property is the subject of an active lawsuit.","Abandonment Of Homestead","A.I.R. (american Industrial Real Estate Association)","Lis Pendens","Accommodator","C","Lis Pendens is defined as: Latin for 'suit pending,' a recorded legal notice warning the public that a property is the subject of an active lawsuit. Example: A buyer sues a seller for specific performance to force the sale of a home. The buyer's attorney records a lis pendens on the property to prevent the seller from selling it to someone else during the lawsuit."
"State Laws and Rules","State Rules","State","Define: A specialized association of real estate brokers and salespeople who deal primarily in industrial properties. The goal of the association is to further the knowledge and effectiveness of its members.","Accommodator","Abandonment Of Homestead","Administrator","A.I.R. (american Industrial Real Estate Association)","D","A.I.R. (american Industrial Real Estate Association) is defined as: A specialized association of real estate brokers and salespeople who deal primarily in industrial properties. The goal of the association is to further the knowledge and effectiveness of its members. Example: An example applying the concept of A.I.R. (american Industrial Real Estate Association) in U.S. real estate transactions."
"State Laws and Rules","State Rules","State","A recorded document, executed by those claiming a homestead exemption, giving up said homestead. Not applicable to all states and procedure must be according to local statutes. matches which of the following terms?","Abandonment Of Homestead","Accommodator","Administrator","Affidavit","A","Abandonment Of Homestead is defined as: A recorded document, executed by those claiming a homestead exemption, giving up said homestead. Not applicable to all states and procedure must be according to local statutes. Example: An example applying the concept of Abandonment Of Homestead in U.S. real estate transactions."
"State Laws and Rules","State Rules","State","Select the correct term for this definition: One who acts to facilitate an exchange under the rules of Section 1031 of the Internal Revenue Service Code. The proper terminology is a Qualified Intermediary, but accommodator, facilitator or intermediary are the common terms used.","Affidavit","Affidavit Of Alimony And Child Support","Administrator","Accommodator","D","Accommodator is defined as: One who acts to facilitate an exchange under the rules of Section 1031 of the Internal Revenue Service Code. The proper terminology is a Qualified Intermediary, but accommodator, facilitator or intermediary are the common terms used. Example: An example applying the concept of Accommodator in U.S. real estate transactions."
"State Laws and Rules","State Rules","State","A person given authority by a proper court to manage and distribute the estate of a deceased person when there is no will. See also: Administrator C.T.A.. is the legal definition of:","Affidavit Of Alimony And Child Support","Administrator","Affidavit","Affirmative Easement","B","Administrator is defined as: A person given authority by a proper court to manage and distribute the estate of a deceased person when there is no will. See also: Administrator C.T.A.. Example: An example applying the concept of Administrator in U.S. real estate transactions."
"State Laws and Rules","State Rules","State","What real estate term matches the following description: A written statement or declaration, sworn to before an officer who has authority to administer an oath.","Alias","Affidavit Of Alimony And Child Support","Affirmative Easement","Affidavit","D","Affidavit is defined as: A written statement or declaration, sworn to before an officer who has authority to administer an oath. Example: An example applying the concept of Affidavit in U.S. real estate transactions."
"State Laws and Rules","State Rules","State","Define: A sworn statement of a separated or divorced person showing the amount (if any) of alimony or child support.","Alias","Affidavit Of Alimony And Child Support","Affirmative Easement","Allegation","B","Affidavit Of Alimony And Child Support is defined as: A sworn statement of a separated or divorced person showing the amount (if any) of alimony or child support. Example: An example applying the concept of Affidavit Of Alimony And Child Support in U.S. real estate transactions."
