Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"National: Real Property Characteristics, Legal Descriptions, and Property Use","Property Law","National","A method of acquiring title to real property by possessing it in an open, notorious, hostile, and continuous manner for a statutorily defined period. matches which of the following terms?","Buffer Zone","Appurtenance","Adverse Possession","Bundle of Rights","C","Adverse Possession is defined as: A method of acquiring title to real property by possessing it in an open, notorious, hostile, and continuous manner for a statutorily defined period. Example: A neighbor builds a fence that encroaches 5 feet onto a homeowner's land. The homeowner does not object, and the neighbor continues to use that strip of land, mowing it and planting gardens on it, for 15 continuous years (the state's statutory limit). The neighbor can file a lawsuit to claim legal ownership of that 5-foot strip via adverse possession."
"National: Real Property Characteristics, Legal Descriptions, and Property Use","Property Law","National","Select the correct term for this definition: A right, privilege, or improvement that is associated with a property and transfers automatically with the title (e.g., easements, outbuildings, or water rights).","Chain of Title","Appurtenance","Bundle of Rights","Buffer Zone","B","Appurtenance is defined as: A right, privilege, or improvement that is associated with a property and transfers automatically with the title (e.g., easements, outbuildings, or water rights). Example: A buyer purchases a home that has an easement appurtenant allowing them to cross the neighbor's property to access a public lake. When the buyer takes title, this easement right transfers to them automatically as an appurtenance, without needing a separate deed or contract."
"National: Real Property Characteristics, Legal Descriptions, and Property Use","Property Law","National","A strip of land, such as a park, greenbelt, or playground, designated to separate two incompatible zoning districts (e.g., residential and industrial). is the legal definition of:","Bundle of Rights","Chain of Title","Condemnation","Buffer Zone","D","Buffer Zone is defined as: A strip of land, such as a park, greenbelt, or playground, designated to separate two incompatible zoning districts (e.g., residential and industrial). Example: The city planning board requires a developer to build a 100-foot-wide park filled with trees between a new retail shopping mall and an existing single-family residential neighborhood, serving as a buffer zone."
"National: Real Property Characteristics, Legal Descriptions, and Property Use","Property Law","National","What real estate term matches the following description: The legal rights associated with real property ownership, including the rights of possession, control, enjoyment, exclusion, and disposition.","Bundle of Rights","Condemnation","Deed","Chain of Title","A","Bundle of Rights is defined as: The legal rights associated with real property ownership, including the rights of possession, control, enjoyment, exclusion, and disposition. Example: A property owner decides to lease their guest house to a tenant, paint their main house blue, and erect a fence to keep trespassers out. They are exercising their bundle of rights: disposition (leasing), control (painting), and exclusion (fencing)."
"National: Real Property Characteristics, Legal Descriptions, and Property Use","Property Law","National","Define: The chronological history of all recorded ownership transfers, liens, and encumbrances affecting a property, tracing back to the original patent.","Deed Restrictions","Chain of Title","Deed","Condemnation","B","Chain of Title is defined as: The chronological history of all recorded ownership transfers, liens, and encumbrances affecting a property, tracing back to the original patent. Example: A title search company examines county deed records to trace a property's ownership. They find a transfer from Owner A to Owner B, and Owner B to Owner C, but no deed showing how Owner D acquired it from Owner C. This represents a break in the chain of title, which must be resolved by a quiet title lawsuit."
"National: Real Property Characteristics, Legal Descriptions, and Property Use","Property Law","National","The legal process by which a government exercises its power of eminent domain to take private property for public use, paying just compensation. matches which of the following terms?","Condemnation","Deed","Easement","Deed Restrictions","A","Condemnation is defined as: The legal process by which a government exercises its power of eminent domain to take private property for public use, paying just compensation. Example: The state planning department determines that a new highway bypass must run through a farmer's pasture. The state offers the farmer $120,000 based on appraisals. When the farmer refuses to sell, the state files a condemnation suit to take the land and pay the farmer the appraised value."
"National: Real Property Characteristics, Legal Descriptions, and Property Use","Property Law","National","Select the correct term for this definition: A written legal instrument that transfers ownership of real property from the grantor (seller) to the grantee (buyer).","Easement","Eminent Domain","Deed Restrictions","Deed","D","Deed is defined as: A written legal instrument that transfers ownership of real property from the grantor (seller) to the grantee (buyer). Example: At the closing table, the seller signs a General Warranty Deed transferring ownership of the home to the buyer. Once the deed is signed and handed to the buyer, title has been legally conveyed."
"National: Real Property Characteristics, Legal Descriptions, and Property Use","Property Law","National","Private clauses or covenants in a deed that limit the use, occupancy, or physical characteristics of a property (often established by developers). is the legal definition of:","Encroachment","Easement","Eminent Domain","Deed Restrictions","D","Deed Restrictions is defined as: Private clauses or covenants in a deed that limit the use, occupancy, or physical characteristics of a property (often established by developers). Example: A developer subdivision deed includes a restriction stating that no property owner can construct a detached workshop or guest house on their lot. A buyer who purchases a home in this subdivision is legally bound by this deed restriction."
"National: Real Property Characteristics, Legal Descriptions, and Property Use","Property Law","National","What real estate term matches the following description: A non-possessory right to cross or use another person's land for a specific, limited purpose (e.g., utility access or shared driveways).","Easement","Encumbrance","Encroachment","Eminent Domain","A","Easement is defined as: A non-possessory right to cross or use another person's land for a specific, limited purpose (e.g., utility access or shared driveways). Example: A homeowner's driveway crosses a neighbor's property to reach the main road. The homeowner holds an easement appurtenant over the neighbor's property, and this right remains in effect when either property is sold."
"National: Real Property Characteristics, Legal Descriptions, and Property Use","Property Law","National","Define: The constitutional right of a government to take private property for public use, provided just compensation is paid to the owner.","Escheat","Eminent Domain","Encroachment","Encumbrance","B","Eminent Domain is defined as: The constitutional right of a government to take private property for public use, provided just compensation is paid to the owner. Example: The city needs to widen a major arterial road. They exercise eminent domain to acquire a 10-foot strip of land from the front yards of adjacent homeowners, paying each owner the appraised market value of the land taken."
"National: Real Property Characteristics, Legal Descriptions, and Property Use","Property Law","National","The unauthorized physical intrusion of an improvement (e.g., a fence, driveway, or roof overhang) onto a neighboring property. matches which of the following terms?","Escheat","Fee Simple Absolute","Encroachment","Encumbrance","C","Encroachment is defined as: The unauthorized physical intrusion of an improvement (e.g., a fence, driveway, or roof overhang) onto a neighboring property. Example: A homeowner builds a new wood fence. A survey reveals the fence is located 1 foot past the property boundary on the neighbor's land. This fence is an encroachment, and the neighbor can require that it be moved."
"National: Real Property Characteristics, Legal Descriptions, and Property Use","Property Law","National","Select the correct term for this definition: A claim, charge, lien, or liability attached to a property that may lessen its value or restrict its use but does not prevent transfer of title.","Escheat","Encumbrance","Fixture","Fee Simple Absolute","B","Encumbrance is defined as: A claim, charge, lien, or liability attached to a property that may lessen its value or restrict its use but does not prevent transfer of title. Example: A property has a recorded utility easement crossing the backyard. This easement is an encumbrance on the title, which a buyer must accept if they purchase the home."
